canary_a_table_barrier	incremental	PASS	-
canary_a_table_barrier	generational	PASS	-
canary_b_coro_upvalue	incremental	PASS	-
canary_b_coro_upvalue	generational	PASS	-
canary_c_finalizer_gen	incremental	PASS	-
canary_c_finalizer_gen	generational	PASS	-
canary_d_weak_gen	incremental	PASS	-
canary_d_weak_gen	generational	PASS	-
canary_e_mode_switch	incremental	PASS	-
canary_e_mode_switch	generational	PASS	-
canary_f_testc_gengc_age	incremental	PASS	-
canary_f_testc_gengc_age	generational	PASS	-
canary_g_testc_gcstate	incremental	PASS	-
canary_g_testc_gcstate	generational	PASS	-
canary_h_testc_warn_store	incremental	PASS	-
canary_h_testc_warn_store	generational	PASS	-
canary_i_testc_weak_finalizer_values	incremental	PASS	-
canary_i_testc_weak_finalizer_values	generational	PASS	-
canary_j_testc_sweep_uservalue_barrier	incremental	PASS	-
canary_j_testc_sweep_uservalue_barrier	generational	PASS	-
canary_k_testc_accounting	incremental	PASS	-
canary_k_testc_accounting	generational	PASS	-
canary_l_testc_minor_stats	incremental	PASS	METRIC minorstats mode=generational state=pause bytes=41060 debt=-8200 threshold=49260 allgc=254 collections=4 weak=0 pendingfin=4 tobefin=0 marked=105 markedyoung=32 markedold=73 traced=33 tracedyoung=32 tracedold=1 sweepvisited=6 sweepvis
canary_l_testc_minor_stats	generational	PASS	METRIC minorstats mode=generational state=pause bytes=41060 debt=-8200 threshold=49260 allgc=254 collections=4 weak=0 pendingfin=4 tobefin=0 marked=105 markedyoung=32 markedold=73 traced=33 tracedyoung=32 tracedold=1 sweepvisited=6 sweepvis
